group_name,yes_rsvp_count,latitude,longitude,station,distance,proximity_weighted_rsvp_count
ChickTech New York,13,40.737667083740234,-73.992919921875,14 ST-UNION SQ,0.2587567512354785,9.63616223393878
League of Women Coders,66,40.74467086791992,-73.98486328125,14 ST-UNION SQ,0.740353562968496,17.136664844079267
Girl Develop It NYC,75,40.734615325927734,-73.99108123779297,14 ST-UNION SQ,0.05930724948092701,70.55195628893047
Fiction Addiction: Young Women Hooked on Books,30,40.72101593017578,-73.99105834960938,14 ST-UNION SQ,0.9453902013333071,1.6382939600007873
Fempower: Women Learning and Growing Together,8,40.72300720214844,-74.0006332397461,14 ST-UNION SQ,0.9810769067503176,0.15138474599745955
Techfest Club: the monthly event for women in tech,20,40.74253845214844,-73.99455261230469,14 ST-UNION SQ,0.5944498095244983,8.111003809510034
The Women Tribe,1,40.74821853637695,-73.98643493652344,14 ST-UNION SQ,0.9538324333400008,0.046167566659999215
Ellementa NYC Women and Cannabis Wellness,2,40.724388122558594,-73.99108123779297,14 ST-UNION SQ,0.7130748189161411,0.5738503621677178
African American Professionals in NYC & New Jersey,51,40.735382080078125,-73.97415161132812,14 ST-UNION SQ,0.8286166166660784,8.74055255003
"New York - Lesbian, Events, Activities",67,40.74398422241211,-73.99488830566406,14 ST-UNION SQ,0.6933233094265776,20.5473382684193
Girl Develop It NYC,15,40.73882293701172,-73.99205017089844,14 ST-UNION SQ,0.3070716824124863,10.393924763812706
R-Ladies New York,40,40.7400016784668,-73.98999786376953,14 ST-UNION SQ,0.36818357660367496,25.272656935853
Build with Code - New York City,58,40.72317123413086,-73.99717712402344,14 ST-UNION SQ,0.880164609723955,6.950452636010607
Empowering Women in Business™ (EWB),2,40.745914459228516,-73.98155212402344,14 ST-UNION SQ,0.8925227934115296,0.21495441317694075
Women Success Strategies,2,40.73800277709961,-73.99178314208984,14 ST-UNION SQ,0.24925945744882871,1.5014810851023426
Fempower: Women Learning and Growing Together,3,40.72300720214844,-74.0006332397461,14 ST-UNION SQ,0.9810769067503176,0.05676927974904733
Lighthouse Workshops,1,40.74728775024414,-73.9921875,14 ST-UNION SQ,0.879421808889667,0.12057819111033297
Single Black Lesbian's over 45 Meetup,4,40.738136291503906,-74.00104522705078,14 ST-UNION SQ,0.6281803798894939,1.4872784804420243
Smutty Book Club,15,40.748470306396484,-73.98687744140625,14 ST-UNION SQ,0.9667828369504688,0.49825744574296726
NYC Ruby Women,36,40.70888137817383,-74.01142883300781,FULTON ST,0.2570951386925694,26.744575007067503
NYC Fintech Women,64,40.72039031982422,-73.9983139038086,FULTON ST,0.8728896259868785,8.135063936839778
Fempower: Women Learning and Growing Together,8,40.72300720214844,-74.0006332397461,FULTON ST,0.9892048214060026,0.08636142875197894
iOSoho - New York City's largest iOS Engineer Meetup,86,40.70877456665039,-74.00674438476562,FULTON ST,0.04523946817361893,82.10940573706877
WAMVentures: Women & Diverse Founders,1,40.71443176269531,-74.006103515625,FULTON ST,0.34741882334563706,0.652581176654363
R-Ladies New York,80,40.72330093383789,-74.00439453125,FULTON ST,0.966101549617748,2.7118760305801626
Fempower: Women Learning and Growing Together,3,40.72300720214844,-74.0006332397461,FULTON ST,0.9892048214060026,0.0323855357819921
Fullstack Academy NYC,18,40.704673767089844,-74.00955200195312,FULTON ST,0.3629549749474894,11.466810450945191
Radical Feminist Activists,1,40.707618713378906,-74.0105972290039,FULTON ST,0.24472199129809152,0.7552780087019084
NYC Brunch Club (20s & 30s),16,40.716522216796875,-73.99501037597656,FULTON ST,0.7795138147872032,3.5277789634047494
New York City Professional Women Meetup,2,40.71088409423828,-74.00839233398438,FULTON ST,0.1392424443649222,1.7215151112701557
New York City Professional Women Meetup,1,40.710968017578125,-74.00846862792969,FULTON ST,0.14620777009102534,0.8537922299089746
Uncubed Events,11,40.71278381347656,-74.00594329833984,FULTON ST,0.23500377062487676,8.414958523126355
The WILD Woman Project,4,40.71792984008789,-74.00142669677734,FULTON ST,0.6470082031079405,1.411967187568238
NYC Raw Vegan Singles,1,40.6857795715332,-73.9645767211914,BEDFORD PK BLVD,0.637266962464333,0.362733037535667
NYC Raw Vegan Singles,1,40.6857795715332,-73.9645767211914,BEDFORD PK BLVD,0.637266962464333,0.362733037535667
African Holistic Village,1,40.68581008911133,-73.96448516845703,BEDFORD PK BLVD,0.6320279388457581,0.36797206115424186
NYC Raw Vegan Singles,2,40.6857795715332,-73.9645767211914,BEDFORD PK BLVD,0.637266962464333,0.725466075071334
Women in the World - Wanderful New York,1,40.68161392211914,-73.96448516845703,BEDFORD PK BLVD,0.7977830875727797,0.20221691242722029
Communewithtea,1,40.682884216308594,-73.93827056884766,BEDFORD PK BLVD,0.9249583693783711,0.07504163062162894
African Holistic Village,1,40.68581008911133,-73.96448516845703,BEDFORD PK BLVD,0.6320279388457581,0.36797206115424186
African Holistic Village,1,40.68581008911133,-73.96448516845703,BEDFORD PK BLVD,0.6320279388457581,0.36797206115424186
African Holistic Village,3,40.68581008911133,-73.96448516845703,BEDFORD PK BLVD,0.6320279388457581,1.1039161834627256
African Holistic Village,1,40.68581008911133,-73.96448516845703,BEDFORD PK BLVD,0.6320279388457581,0.36797206115424186
NYC Lesbian Social and Travel Group,10,40.68161392211914,-73.96446228027344,BEDFORD PK BLVD,0.7969201204464098,2.030798795535902
African Holistic Village,1,40.68581008911133,-73.96448516845703,BEDFORD PK BLVD,0.6320279388457581,0.36797206115424186
Klaatch,3,40.68340301513672,-73.96247863769531,BEDFORD PK BLVD,0.6365028116388775,1.0904915650833678
Klaatch,1,40.68340301513672,-73.96247863769531,BEDFORD PK BLVD,0.6365028116388775,0.36349718836112255
Sister's Circle,7,40.67817687988281,-73.94416046142578,BEDFORD PK BLVD,0.9308402298315033,0.4841183911794771
DaTruth Forum,1,40.690799713134766,-73.95828247070312,BEDFORD PK BLVD,0.2622313286425544,0.7377686713574456
West Bronx Women Support Group,1,40.863548278808594,-73.88936614990234,BEDFORD PK BLVD,0.679948963296315,0.32005103670368495
Get Fit With Don's and Diva's!,3,40.86458969116211,-73.89472961425781,BEDFORD PK BLVD,0.7175531602001473,0.8473405193995582
West Bronx Women Support Group,1,40.863548278808594,-73.88936614990234,BEDFORD PK BLVD,0.6824906694292637,0.31750933057073627
Get Fit With Don's and Diva's!,3,40.86458969116211,-73.89472961425781,BEDFORD PK BLVD,0.6564985412002794,1.0305043763991617
