group_name,yes_rsvp_count,latitude,longitude,station,distance,proximity_weighted_rsvp_count
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,34 ST-PENN STA,0.39463623632443023,23.00382301967165
League of Women Coders,66,40.74467086791992,-73.98486328125,34 ST-PENN STA,0.5102248970892759,32.32515679210779
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,34 ST-PENN STA,0.3875742784021694,21.43490025592407
Women in Hyper Growth Companies,26,40.75190353393555,-73.98789978027344,34 ST-PENN STA,0.19619353640525622,20.898968053463335
Techfest Club: the monthly event for women in tech,20,40.74253845214844,-73.99455261230469,34 ST-PENN STA,0.5714036369071419,8.571927261857162
The Women Tribe,1,40.74821853637695,-73.98643493652344,34 ST-PENN STA,0.28406100592849637,0.7159389940715036
Women of Wearables New York Chapter (W.O.W NY),8,40.752498626708984,-74.00105285644531,34 ST-PENN STA,0.5434201818420175,3.6526385452638603
Girl Develop It NYC,15,40.73882293701172,-73.99205017089844,34 ST-PENN STA,0.7997223983083479,3.0041640253747817
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,GRD CNTRL-42 ST,0.7649505718354919,8.931878270251309
League of Women Coders,66,40.74467086791992,-73.98486328125,GRD CNTRL-42 ST,0.6457727304372816,23.378999791139417
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,GRD CNTRL-42 ST,0.6079038968573954,13.72336360999116
Women in Hyper Growth Companies,26,40.75190353393555,-73.98789978027344,GRD CNTRL-42 ST,0.5785298265271934,10.958224510292972
The Women Tribe,1,40.74821853637695,-73.98643493652344,GRD CNTRL-42 ST,0.5587702767075504,0.4412297232924496
The Business of WE (Women Entrepreneurs),8,40.76038360595703,-73.97667694091797,GRD CNTRL-42 ST,0.5947943504284813,3.24164519657215
Women Entrepreneur Resource & Educational Community-New York,4,40.76054000854492,-73.9753189086914,GRD CNTRL-42 ST,0.6107988802524075,1.55680447899037
