name,url,file_size,domestic_total_gross,distributor,release_date,genre,runtime,mpaa_rating,production_budget
u2rattleandhum,http://www.boxofficemojo.com/movies/?id=u2rattleandhum.htm,20498,"$8,600,823",Paramount,"November 4, 1988",Unknown,1 hrs. 38 min.,PG-13,N/A
glimmerman,http://www.boxofficemojo.com/movies/?id=glimmerman.htm,22032,"$20,351,264",Warner Bros.,"October 4, 1996",Action Comedy,1 hrs. 32 min.,R,N/A
peterrabbit,http://www.boxofficemojo.com/movies/?id=peterrabbit.htm,28084,,Sony / Columbia,"February 9, 2018",Family,1 hrs. 33 min.,PG,$50 million
emperorsnewgroove,http://www.boxofficemojo.com/movies/?id=emperorsnewgroove.htm,25980,"$89,302,687",Buena Vista,"December 15, 2000",Animation,1 hrs. 18 min.,G,$100 million
austinpowers,http://www.boxofficemojo.com/movies/?id=austinpowers.htm,25252,"$53,883,989",New Line,"May 2, 1997",Comedy,1 hrs. 40 min.,PG-13,$16.5 million
nowyouseeme2,http://www.boxofficemojo.com/movies/?id=nowyouseeme2.htm,23904,"$65,075,540",Lionsgate/Summit,"June 10, 2016",Thriller,2 hrs. 9 min.,PG-13,N/A
hudsonhawk,http://www.boxofficemojo.com/movies/?id=hudsonhawk.htm,21446,"$17,218,080",TriStar,"May 24, 1991",Action Comedy,1 hrs. 35 min.,R,$65 million
downtoearth,http://www.boxofficemojo.com/movies/?id=downtoearth.htm,24089,"$64,186,502",Paramount,"February 16, 2001",Romantic Comedy,1 hrs. 27 min.,PG-13,$49 million
bloodandwine,http://www.boxofficemojo.com/movies/?id=bloodandwine.htm,19866,"$1,094,668",Fox Searchlight,"February 21, 1997",Crime Drama,1 hrs. 41 min.,R,N/A
accepted,http://www.boxofficemojo.com/movies/?id=accepted.htm,24619,"$36,323,505",Universal,"August 18, 2006",Comedy,1 hrs. 30 min.,PG-13,$23 million
clanofthecavebear,http://www.boxofficemojo.com/movies/?id=clanofthecavebear.htm,19393,"$1,953,732",Warner Bros.,"January 17, 1986",Unknown,1 hrs. 38 min.,R,N/A
forbiddendance,http://www.boxofficemojo.com/movies/?id=forbiddendance.htm,20515,"$1,823,154",Columbia,"March 16, 1990",Music Drama,1 hrs. 37 min.,PG-13,N/A
tribute,http://www.boxofficemojo.com/movies/?id=tribute.htm,15927,"$9,000,000",Fox,"December 14, 1980",Unknown,2 hrs. 1 min.,PG,N/A
happygolucky,http://www.boxofficemojo.com/movies/?id=happygolucky.htm,20901,"$3,512,016",Miramax,"October 10, 2008",Comedy / Drama,1 hrs. 58 min.,R,N/A
norman2017,http://www.boxofficemojo.com/movies/?id=norman2017.htm,17945,"$3,814,868",Sony Classics,"April 14, 2017",Drama / Thriller,1 hrs. 57 min.,R,N/A
matchpoint,http://www.boxofficemojo.com/movies/?id=matchpoint.htm,22963,"$23,151,529",DreamWorks,"December 28, 2005",Thriller,2 hrs. 4 min.,R,$15 million
nannymcphee2,http://www.boxofficemojo.com/movies/?id=nannymcphee2.htm,24380,"$29,011,215",Universal,"August 20, 2010",Family,1 hrs. 40 min.,PG,$35 million
swordinthestone83,http://www.boxofficemojo.com/movies/?id=swordinthestone83.htm,22146,"$12,000,000",Buena Vista,"March 25, 1983",Animation,1 hrs. 19 min.,G,N/A
gospel,http://www.boxofficemojo.com/movies/?id=gospel.htm,22944,"$15,778,152",Sony / Screen Gems,"October 7, 2005",Music Drama,1 hrs. 33 min.,PG,$4 million
wallstreet2,http://www.boxofficemojo.com/movies/?id=wallstreet2.htm,26869,"$52,474,616",Fox,"September 24, 2010",Drama,2 hrs. 7 min.,PG-13,$70 million
catsmeow,http://www.boxofficemojo.com/movies/?id=catsmeow.htm,20327,"$3,209,481",Lions Gate,"April 12, 2002",Period Drama,1 hrs. 52 min.,PG-13,N/A
ispy,http://www.boxofficemojo.com/movies/?id=ispy.htm,24593,"$33,561,137",Sony / Columbia,"November 1, 2002",Action Comedy,1 hrs. 36 min.,PG-13,$70 million
clubparadise,http://www.boxofficemojo.com/movies/?id=clubparadise.htm,20459,"$12,308,521",Warner Bros.,"July 11, 1986",Comedy,1 hrs. 36 min.,PG-13,N/A
flight,http://www.boxofficemojo.com/movies/?id=flight.htm,25987,"$93,772,375",Paramount,"November 2, 2012",Drama,2 hrs. 19 min.,R,$31 million
highschoolmusical3,http://www.boxofficemojo.com/movies/?id=highschoolmusical3.htm,29774,"$90,559,416",Buena Vista,"October 24, 2008",Musical,1 hrs. 40 min.,G,$11 million
demolition,http://www.boxofficemojo.com/movies/?id=demolition.htm,21243,"$1,978,592",Fox Searchlight,"April 8, 2016",Drama,1 hrs. 41 min.,R,N/A
