name,url,file_size,domestic_total_gross,distributor,release_date,genre,runtime,mpaa_rating,production_budget
eureka,http://www.boxofficemojo.com/movies/?id=eureka.htm,16329,"$123,572",United Artists,"October 5, 1984",Unknown,2 hrs. 10 min.,R,N/A
1998bugsbunnyfilmfestival,http://www.boxofficemojo.com/movies/?id=1998bugsbunnyfilmfestival.htm,17794,"$413,076",Warner Bros.,"February 13, 1998",Animation,N/A,Unrated,N/A
littlemermaid98,http://www.boxofficemojo.com/movies/?id=littlemermaid98.htm,21661,"$27,187,616Domestic Lifetime Gross: $111,543,479",Buena Vista,"November 14, 1997",Animation,1 hrs. 23 min.,G,N/A
standupguys,http://www.boxofficemojo.com/movies/?id=standupguys.htm,22754,"$3,310,031",Lionsgate,"February 1, 2013",Action Comedy,1 hrs. 33 min.,R,N/A
lambertandstamp,http://www.boxofficemojo.com/movies/?id=lambertandstamp.htm,17751,"$183,320",Sony Classics,"April 3, 2015",Documentary,2 hrs. 0 min.,R,N/A
midsummernightssexcomedy,http://www.boxofficemojo.com/movies/?id=midsummernightssexcomedy.htm,19771,"$9,077,269",Warner Bros.,"July 16, 1982",Comedy,1 hrs. 28 min.,PG,N/A
lostintranslation,http://www.boxofficemojo.com/movies/?id=lostintranslation.htm,26272,"$44,585,453",Focus Features,"September 12, 2003",Comedy,1 hrs. 42 min.,R,$4 million
easymoney2012,http://www.boxofficemojo.com/movies/?id=easymoney2012.htm,19195,"$205,741",Weinstein Company,"July 11, 2012",Foreign,2 hrs. 4 min.,R,N/A
monstersinc2,http://www.boxofficemojo.com/movies/?id=monstersinc2.htm,40867,"$268,492,764",Buena Vista,"June 21, 2013",Animation,1 hrs. 47 min.,G,N/A
snakeeyes,http://www.boxofficemojo.com/movies/?id=snakeeyes.htm,22700,"$55,591,409",Paramount,"August 7, 1998",Thriller,1 hrs. 38 min.,R,$73 million
talladeganights,http://www.boxofficemojo.com/movies/?id=talladeganights.htm,32496,"$148,213,377",Sony / Columbia,"August 4, 2006",Sports Comedy,1 hrs. 50 min.,PG-13,$72.5 million
allnighter,http://www.boxofficemojo.com/movies/?id=allnighter.htm,19982,"$2,700,000",Universal,"May 1, 1987",Unknown,1 hrs. 35 min.,PG-13,N/A
power,http://www.boxofficemojo.com/movies/?id=power.htm,20185,"$3,800,000",Fox,"January 31, 1986",Unknown,1 hrs. 51 min.,R,N/A
chappie,http://www.boxofficemojo.com/movies/?id=chappie.htm,25637,"$31,569,268",Sony / Columbia,"March 6, 2015",Sci-Fi Action,2 hrs. 0 min.,R,$49 million
sisteract2,http://www.boxofficemojo.com/movies/?id=sisteract2.htm,23116,"$57,319,029",Buena Vista,"December 10, 1993",Comedy,1 hrs. 47 min.,PG,N/A
insidiouschapter3,http://www.boxofficemojo.com/movies/?id=insidiouschapter3.htm,24296,"$52,218,558",Focus Features,"June 5, 2015",Horror,1 hrs. 37 min.,PG-13,$10 million
thepretendwife,http://www.boxofficemojo.com/movies/?id=thepretendwife.htm,30490,"$103,028,109",Sony / Columbia,"February 11, 2011",Romantic Comedy,1 hrs. 50 min.,PG-13,$80 million
maskofzorro,http://www.boxofficemojo.com/movies/?id=maskofzorro.htm,25857,"$94,095,523",Sony / Columbia,"July 17, 1998",Period Adventure,2 hrs. 17 min.,PG-13,$95 million
awayfromher,http://www.boxofficemojo.com/movies/?id=awayfromher.htm,20676,"$4,571,521",Lionsgate,"May 4, 2007",Drama,1 hrs. 50 min.,PG-13,N/A
wolverine2017,http://www.boxofficemojo.com/movies/?id=wolverine2017.htm,33737,"$226,277,068",Fox,"March 3, 2017",Action / Adventure,2 hrs. 15 min.,R,$97 million
network,http://www.boxofficemojo.com/movies/?id=network.htm,17954,"$23,689,877",MGM,"November 27, 1976",Comedy / Drama,2 hrs. 0 min.,R,$3.8 million
jonasbros3dconcert,http://www.boxofficemojo.com/movies/?id=jonasbros3dconcert.htm,25841,"$19,162,740",Buena Vista,"February 27, 2009",Concert,1 hrs. 16 min.,G,N/A
tillmanstory,http://www.boxofficemojo.com/movies/?id=tillmanstory.htm,19623,"$802,535",Weinstein Company,"August 20, 2010",Documentary,1 hrs. 34 min.,R,N/A
moliere,http://www.boxofficemojo.com/movies/?id=moliere.htm,20149,"$635,733",Sony Classics,"July 27, 2007",Foreign,2 hrs. 0 min.,PG-13,N/A
starwars5se,http://www.boxofficemojo.com/movies/?id=starwars5se.htm,25508,"$67,597,694Domestic Lifetime Gross: $290,475,067",Fox,"February 21, 1997",Sci-Fi Fantasy,2 hrs. 9 min.,PG,N/A
professional,http://www.boxofficemojo.com/movies/?id=professional.htm,21506,"$19,501,238",Sony / Columbia,"November 18, 1994",Action / Crime,1 hrs. 50 min.,R,N/A
runaway,http://www.boxofficemojo.com/movies/?id=runaway.htm,19872,"$6,770,587",TriStar,"December 14, 1984",Unknown,1 hrs. 40 min.,PG-13,N/A
jumanji,http://www.boxofficemojo.com/movies/?id=jumanji.htm,24962,"$100,475,249",Sony / Columbia,"December 15, 1995",Family Adventure,1 hrs. 44 min.,PG,$65 million
hardcandy,http://www.boxofficemojo.com/movies/?id=hardcandy.htm,20869,"$1,024,640",Lionsgate,"April 14, 2006",Drama,1 hrs. 39 min.,R,N/A
standardoperatingprocedure,http://www.boxofficemojo.com/movies/?id=standardoperatingprocedure.htm,21231,"$229,117",Sony Classics,"April 25, 2008",Documentary,1 hrs. 58 min.,R,N/A
strike,http://www.boxofficemojo.com/movies/?id=strike.htm,19476,"$907,996",Miramax,"August 21, 1998",Comedy,1 hrs. 37 min.,PG-13,N/A
caveman,http://www.boxofficemojo.com/movies/?id=caveman.htm,16568,"$15,965,924",MGM,"April 17, 1981",Comedy,1 hrs. 32 min.,PG,N/A
flashdance,http://www.boxofficemojo.com/movies/?id=flashdance.htm,26076,"$92,921,203",Paramount,"April 15, 1983",Music Drama,1 hrs. 35 min.,R,N/A
littlevoice,http://www.boxofficemojo.com/movies/?id=littlevoice.htm,19301,"$4,611,784",Miramax,"December 4, 1998",Music Drama,1 hrs. 36 min.,R,N/A
lustcaution,http://www.boxofficemojo.com/movies/?id=lustcaution.htm,23714,"$4,604,982",Focus Features,"September 28, 2007",Foreign,2 hrs. 38 min.,NC-17,$15 million
nosuchthing,http://www.boxofficemojo.com/movies/?id=nosuchthing.htm,19035,"$62,703",MGM,"March 29, 2002",Unknown,1 hrs. 42 min.,R,N/A
hollowreed,http://www.boxofficemojo.com/movies/?id=hollowreed.htm,18647,"$265,732",Lions Gate,"April 18, 1997",Drama,1 hrs. 43 min.,R,N/A
edtv,http://www.boxofficemojo.com/movies/?id=edtv.htm,23483,"$22,431,897",Universal,"March 26, 1999",Comedy,2 hrs. 4 min.,PG-13,$80 million
krampus,http://www.boxofficemojo.com/movies/?id=krampus.htm,22806,"$42,725,475",Universal,"December 4, 2015",Horror Comedy,1 hrs. 38 min.,PG-13,$15 million
nastygirl,http://www.boxofficemojo.com/movies/?id=nastygirl.htm,19720,"$2,281,569",Miramax,"October 26, 1990",Foreign,1 hrs. 32 min.,PG-13,N/A
lorenzosoil,http://www.boxofficemojo.com/movies/?id=lorenzosoil.htm,20533,"$7,286,388",Universal,"January 1, 1993",Drama,2 hrs. 16 min.,PG-13,N/A
d3themightyducks,http://www.boxofficemojo.com/movies/?id=d3themightyducks.htm,21637,"$22,955,097",Buena Vista,"October 4, 1996",Family Comedy,1 hrs. 44 min.,PG,N/A
sherlockholmes,http://www.boxofficemojo.com/movies/?id=sherlockholmes.htm,38862,"$209,028,679",Warner Bros.,"December 25, 2009",Adventure,2 hrs. 14 min.,PG-13,$90 million
batteriesnotincluded,http://www.boxofficemojo.com/movies/?id=batteriesnotincluded.htm,21619,"$32,945,797",Universal,"December 18, 1987",Sci-Fi Fantasy,1 hrs. 46 min.,PG,N/A
27dresses,http://www.boxofficemojo.com/movies/?id=27dresses.htm,26639,"$76,808,654",Fox,"January 18, 2008",Romantic Comedy,1 hrs. 47 min.,PG-13,$30 million
armstronglie,http://www.boxofficemojo.com/movies/?id=armstronglie.htm,19196,"$383,294",Sony Classics,"November 8, 2013",Documentary,2 hrs. 2 min.,R,N/A
mazerunner,http://www.boxofficemojo.com/movies/?id=mazerunner.htm,27817,"$102,427,862",Fox,"September 19, 2014",Sci-Fi Thriller,1 hrs. 53 min.,PG-13,$34 million
freakyfriday81,http://www.boxofficemojo.com/movies/?id=freakyfriday81.htm,16322,"$300,000Domestic Lifetime Gross: $25,942,000",Buena Vista,"June 12, 1981",Unknown,1 hrs. 35 min.,G,N/A
karatekidpart3,http://www.boxofficemojo.com/movies/?id=karatekidpart3.htm,22266,"$38,956,288",Columbia,"June 30, 1989",Sports Action,1 hrs. 29 min.,PG,N/A
quest,http://www.boxofficemojo.com/movies/?id=quest.htm,22121,"$21,686,547",Universal,"April 26, 1996",Period Action,1 hrs. 35 min.,R,N/A
fireinthesky,http://www.boxofficemojo.com/movies/?id=fireinthesky.htm,21329,"$19,885,552",Paramount,"March 12, 1993",Sci-Fi,1 hrs. 49 min.,PG-13,N/A
littlemissmarker,http://www.boxofficemojo.com/movies/?id=littlemissmarker.htm,17866,"$6,321,392",Universal,"March 21, 1980",Unknown,1 hrs. 43 min.,PG,N/A
rio,http://www.boxofficemojo.com/movies/?id=rio.htm,32872,"$143,619,809",Fox,"April 15, 2011",Animation,1 hrs. 36 min.,G,$90 million
brownsugar,http://www.boxofficemojo.com/movies/?id=brownsugar.htm,22059,"$27,363,891",Fox Searchlight,"October 11, 2002",Romantic Comedy,1 hrs. 48 min.,PG-13,$8 million
bigwedding,http://www.boxofficemojo.com/movies/?id=bigwedding.htm,24157,"$21,819,348",Lionsgate,"April 26, 2013",Romantic Comedy,1 hrs. 29 min.,R,$35 million
cleopatra,http://www.boxofficemojo.com/movies/?id=cleopatra.htm,18676,"$57,777,778",Fox,"June 12, 1963",Historical Epic,3 hrs. 12 min.,G,$44 million
prideandglory,http://www.boxofficemojo.com/movies/?id=prideandglory.htm,24907,"$15,740,721",Warner Bros. (New Line),"October 24, 2008",Crime Drama,2 hrs. 5 min.,R,$30 million
playersclub,http://www.boxofficemojo.com/movies/?id=playersclub.htm,22908,"$23,047,939",New Line,"April 10, 1998",Comedy,1 hrs. 43 min.,R,N/A
obsessed,http://www.boxofficemojo.com/movies/?id=obsessed.htm,24366,"$68,261,644",Sony / Screen Gems,"April 24, 2009",Thriller,1 hrs. 45 min.,PG-13,$20 million
lifeisbeautiful,http://www.boxofficemojo.com/movies/?id=lifeisbeautiful.htm,25679,"$57,247,384Domestic Lifetime Gross: $57,563,264",Miramax,"October 23, 1998",Foreign,1 hrs. 56 min.,PG-13,N/A
attacktheblock,http://www.boxofficemojo.com/movies/?id=attacktheblock.htm,19830,"$1,024,175",Sony / Screen Gems,"July 29, 2011",Sci-Fi Comedy,1 hrs. 28 min.,R,$13 million
mycousinvinny,http://www.boxofficemojo.com/movies/?id=mycousinvinny.htm,21607,"$52,929,168",Fox,"March 13, 1992",Comedy,2 hrs. 0 min.,R,N/A
animalhouse,http://www.boxofficemojo.com/movies/?id=animalhouse.htm,21626,"$120,091,123Domestic Lifetime Gross: $141,600,000",Universal,"July 28, 1978",Comedy,1 hrs. 49 min.,R,N/A
winslowboy,http://www.boxofficemojo.com/movies/?id=winslowboy.htm,19083,"$3,957,934",Sony Classics,"April 30, 1999",Period Drama,1 hrs. 44 min.,G,N/A
psycho98,http://www.boxofficemojo.com/movies/?id=psycho98.htm,23754,"$21,456,130",Universal,"December 4, 1998",Thriller,1 hrs. 40 min.,R,$60 million
torque,http://www.boxofficemojo.com/movies/?id=torque.htm,22607,"$21,215,059",Warner Bros.,"January 16, 2004",Action,1 hrs. 21 min.,PG-13,$40 million
markedfordeath,http://www.boxofficemojo.com/movies/?id=markedfordeath.htm,20443,"$46,044,396",Fox,"October 5, 1990",Action,1 hrs. 34 min.,R,N/A
terminatorsalvation,http://www.boxofficemojo.com/movies/?id=terminatorsalvation.htm,32428,"$125,322,469",Warner Bros.,"May 21, 2009",Sci-Fi Action,1 hrs. 54 min.,PG-13,$200 million
dropdeadfred,http://www.boxofficemojo.com/movies/?id=dropdeadfred.htm,20045,"$13,878,334",New Line,"May 24, 1991",Fantasy Comedy,1 hrs. 43 min.,PG-13,N/A
uptowngirls,http://www.boxofficemojo.com/movies/?id=uptowngirls.htm,23719,"$37,182,494",MGM,"August 15, 2003",Comedy,1 hrs. 33 min.,PG-13,$20 million
niceguys,http://www.boxofficemojo.com/movies/?id=niceguys.htm,21854,"$36,261,763",Warner Bros.,"May 20, 2016",Comedy Thriller,1 hrs. 56 min.,R,$50 million
ouridiotbrother,http://www.boxofficemojo.com/movies/?id=ouridiotbrother.htm,23923,"$24,816,118",Weinstein Company,"August 26, 2011",Comedy,1 hrs. 30 min.,R,$5 million
jesusson,http://www.boxofficemojo.com/movies/?id=jesusson.htm,19309,"$1,302,067",Lions Gate,"June 16, 2000",Drama,1 hrs. 45 min.,R,$2.5 million
piranha3d,http://www.boxofficemojo.com/movies/?id=piranha3d.htm,24721,"$25,003,155",Weinstein / Dimension,"August 20, 2010",Horror,1 hrs. 29 min.,R,$24 million
kids,http://www.boxofficemojo.com/movies/?id=kids.htm,20745,"$7,412,216",Miramax,"July 21, 1995",Drama,1 hrs. 31 min.,Unrated,$1.5 million
seekingafriend,http://www.boxofficemojo.com/movies/?id=seekingafriend.htm,23361,"$7,078,738",Focus Features,"June 22, 2012",Comedy / Drama,1 hrs. 34 min.,R,$10 million
mrdeeds,http://www.boxofficemojo.com/movies/?id=mrdeeds.htm,28367,"$126,293,452",Sony / Columbia,"June 28, 2002",Comedy,1 hrs. 31 min.,PG-13,$50 million
bourneidentity,http://www.boxofficemojo.com/movies/?id=bourneidentity.htm,31968,"$121,661,683",Universal,"June 14, 2002",Action Thriller,1 hrs. 58 min.,PG-13,$60 million
moulinrouge,http://www.boxofficemojo.com/movies/?id=moulinrouge.htm,29072,"$57,386,607Domestic Lifetime Gross: $57,386,607",Fox,"May 18, 2001",Musical,2 hrs. 7 min.,PG-13,$50 million
clashofthetitans2,http://www.boxofficemojo.com/movies/?id=clashofthetitans2.htm,28273,"$83,670,083",Warner Bros.,"March 30, 2012",Fantasy,1 hrs. 39 min.,PG-13,$150 million
principal,http://www.boxofficemojo.com/movies/?id=principal.htm,20507,"$19,734,940",TriStar,"September 18, 1987",Action Drama,1 hrs. 52 min.,R,N/A
halfbaked,http://www.boxofficemojo.com/movies/?id=halfbaked.htm,21919,"$17,460,020",Universal,"January 16, 1998",Comedy,1 hrs. 37 min.,R,N/A
wizardofozimax,http://www.boxofficemojo.com/movies/?id=wizardofozimax.htm,18072,"$5,633,202Domestic Lifetime Gross: $22,342,633",Warner Bros.,"September 20, 2013",Fantasy,1 hrs. 41 min.,G,N/A
lonelylady,http://www.boxofficemojo.com/movies/?id=lonelylady.htm,18933,"$1,223,220",Universal,"September 30, 1983",Unknown,1 hrs. 32 min.,R,N/A
hartswar,http://www.boxofficemojo.com/movies/?id=hartswar.htm,25222,"$19,077,641",MGM,"February 15, 2002",War Drama,2 hrs. 5 min.,R,$70 million
theend,http://www.boxofficemojo.com/movies/?id=theend.htm,16924,"$44,917,151",United Artists,"May 10, 1978",Comedy,1 hrs. 40 min.,R,N/A
hidden,http://www.boxofficemojo.com/movies/?id=hidden.htm,19764,"$9,747,988",New Line,"October 30, 1987",Unknown,1 hrs. 38 min.,R,N/A
shrek3,http://www.boxofficemojo.com/movies/?id=shrek3.htm,43882,"$322,719,944",Paramount (DreamWorks),"May 18, 2007",Animation,1 hrs. 32 min.,PG,$160 million
medallion,http://www.boxofficemojo.com/movies/?id=medallion.htm,22981,"$22,219,192",TriStar,"August 22, 2003",Action Comedy,1 hrs. 28 min.,PG-13,N/A
affairofthenecklace,http://www.boxofficemojo.com/movies/?id=affairofthenecklace.htm,21490,"$471,210",Warner Bros.,"November 30, 2001",Unknown,1 hrs. 58 min.,R,N/A
scott2016,http://www.boxofficemojo.com/movies/?id=scott2016.htm,35063,"$228,433,663",Fox,"October 2, 2015",Sci-Fi,2 hrs. 21 min.,PG-13,$108 million
reservationroad,http://www.boxofficemojo.com/movies/?id=reservationroad.htm,21435,"$121,994",Focus Features,"October 19, 2007",Drama,1 hrs. 42 min.,R,N/A
brotherbear,http://www.boxofficemojo.com/movies/?id=brotherbear.htm,27962,"$85,336,277",Buena Vista,"October 24, 2003",Animation,1 hrs. 25 min.,G,N/A
itskindofafunnystory,http://www.boxofficemojo.com/movies/?id=itskindofafunnystory.htm,22406,"$6,363,628",Focus Features,"October 8, 2010",Drama,1 hrs. 41 min.,PG-13,$8 million
winadatewithtadhamilton,http://www.boxofficemojo.com/movies/?id=winadatewithtadhamilton.htm,26075,"$17,071,962",DreamWorks,"January 23, 2004",Romantic Comedy,1 hrs. 36 min.,PG-13,$22 million
frankieandjohnny,http://www.boxofficemojo.com/movies/?id=frankieandjohnny.htm,20171,"$22,773,535",Paramount,"October 11, 1991",Romantic Comedy,1 hrs. 57 min.,R,N/A
housesitter,http://www.boxofficemojo.com/movies/?id=housesitter.htm,21797,"$58,500,635",Universal,"June 12, 1992",Romantic Comedy,1 hrs. 42 min.,PG,N/A
antwonefisher,http://www.boxofficemojo.com/movies/?id=antwonefisher.htm,23361,"$21,078,145",Fox Searchlight,"December 19, 2002",Drama,2 hrs. 0 min.,PG-13,$12.5 million
12,http://www.boxofficemojo.com/movies/?id=12.htm,19313,"$125,120",Sony Classics,"March 4, 2009",Foreign,2 hrs. 39 min.,PG-13,N/A
michaelcollins,http://www.boxofficemojo.com/movies/?id=michaelcollins.htm,22799,"$11,092,559",Warner Bros.,"October 11, 1996",Period Drama,2 hrs. 13 min.,R,$25 million
leafmen,http://www.boxofficemojo.com/movies/?id=leafmen.htm,30057,"$107,518,682",Fox,"May 24, 2013",Animation,1 hrs. 42 min.,PG,$100 million
residentevil5,http://www.boxofficemojo.com/movies/?id=residentevil5.htm,28855,"$42,345,531",Sony / Screen Gems,"September 14, 2012",Action Horror,1 hrs. 35 min.,R,$65 million
venus,http://www.boxofficemojo.com/movies/?id=venus.htm,20973,"$3,347,411",Miramax,"December 21, 2006",Drama,1 hrs. 35 min.,R,N/A
hearnoevil,http://www.boxofficemojo.com/movies/?id=hearnoevil.htm,19267,"$5,679,569",Fox,"March 26, 1993",Thriller,1 hrs. 37 min.,R,N/A
pumpkin,http://www.boxofficemojo.com/movies/?id=pumpkin.htm,20549,"$308,552",MGM,"June 28, 2002",Comedy,1 hrs. 53 min.,R,N/A
newyorkstories,http://www.boxofficemojo.com/movies/?id=newyorkstories.htm,20648,"$10,763,469",Buena Vista,"March 3, 1989",Unknown,2 hrs. 4 min.,PG,N/A
getrichordietryin,http://www.boxofficemojo.com/movies/?id=getrichordietryin.htm,25005,"$30,985,352",Paramount,"November 9, 2005",Music Drama,2 hrs. 14 min.,R,$40 million
graveyardshift,http://www.boxofficemojo.com/movies/?id=graveyardshift.htm,20490,"$11,582,891",Paramount,"October 26, 1990",Horror,1 hrs. 28 min.,R,N/A
claim,http://www.boxofficemojo.com/movies/?id=claim.htm,20058,"$669,258",MGM,"December 29, 2000",Western,2 hrs. 0 min.,R,N/A
fortress,http://www.boxofficemojo.com/movies/?id=fortress.htm,19273,"$6,739,141",Miramax,"September 3, 1993",Sci-Fi Action,1 hrs. 35 min.,R,$8 million
christmasstory84,http://www.boxofficemojo.com/movies/?id=christmasstory84.htm,22222,"$1,311,065Domestic Lifetime Gross: $20,605,209",MGM,"November 21, 1984",Unknown,1 hrs. 18 min.,PG,N/A
hallpass,http://www.boxofficemojo.com/movies/?id=hallpass.htm,24771,"$45,060,734",Warner Bros. (New Line),"February 25, 2011",Comedy,1 hrs. 38 min.,R,$36 million
burglar,http://www.boxofficemojo.com/movies/?id=burglar.htm,19722,"$16,337,355",Warner Bros.,"March 20, 1987",Comedy,1 hrs. 42 min.,R,N/A
cinderella81,http://www.boxofficemojo.com/movies/?id=cinderella81.htm,20095,"$28,040,000Domestic Lifetime Gross: $93,141,149",Buena Vista,"December 18, 1981",Animation,1 hrs. 16 min.,G,N/A
mallcop,http://www.boxofficemojo.com/movies/?id=mallcop.htm,32368,"$146,336,178",Sony / Columbia,"January 16, 2009",Comedy,1 hrs. 27 min.,PG,$26 million
nomercy,http://www.boxofficemojo.com/movies/?id=nomercy.htm,20444,"$12,303,904",TriStar,"December 19, 1986",Unknown,1 hrs. 47 min.,R,N/A
extraction,http://www.boxofficemojo.com/movies/?id=extraction.htm,18526,"$16,775",Lionsgate Premiere,"December 18, 2015",Thriller,1 hrs. 23 min.,R,N/A
freddyvsjason,http://www.boxofficemojo.com/movies/?id=freddyvsjason.htm,27991,"$82,622,655",New Line,"August 15, 2003",Horror Comedy,1 hrs. 38 min.,R,$30 million
housecalls,http://www.boxofficemojo.com/movies/?id=housecalls.htm,15837,"$28,460,702",Universal,"January 1, 1978",Romantic Comedy,2 hrs. 3 min.,PG,N/A
core,http://www.boxofficemojo.com/movies/?id=core.htm,24241,"$31,186,896",Paramount,"March 28, 2003",Action Drama,2 hrs. 16 min.,PG-13,$60 million
calendargirl,http://www.boxofficemojo.com/movies/?id=calendargirl.htm,19078,"$2,570,550",Columbia,"September 3, 1993",Comedy,1 hrs. 33 min.,PG-13,N/A
illsleepwhenimdead,http://www.boxofficemojo.com/movies/?id=illsleepwhenimdead.htm,20816,,Paramount Classics,"June 16, 2004",Crime Drama,1 hrs. 42 min.,R,N/A
coriolanus,http://www.boxofficemojo.com/movies/?id=coriolanus.htm,19302,"$757,195",Weinstein Company,"January 20, 2012",Period Drama,2 hrs. 2 min.,R,N/A
gandhi,http://www.boxofficemojo.com/movies/?id=gandhi.htm,25449,"$52,767,889",Columbia,"December 10, 1982",Period Drama,3 hrs. 8 min.,PG,N/A
mosquitocoast,http://www.boxofficemojo.com/movies/?id=mosquitocoast.htm,20577,"$14,302,779",Warner Bros.,"November 26, 1986",Adventure,1 hrs. 58 min.,PG,N/A
ondeadlyground,http://www.boxofficemojo.com/movies/?id=ondeadlyground.htm,20726,"$38,590,458",Warner Bros.,"February 18, 1994",Action,1 hrs. 41 min.,R,$50 million
alexander,http://www.boxofficemojo.com/movies/?id=alexander.htm,34731,"$34,297,191",Warner Bros.,"November 24, 2004",Historical Epic,2 hrs. 56 min.,R,$155 million
valentin,http://www.boxofficemojo.com/movies/?id=valentin.htm,20345,"$275,968",Miramax,"May 7, 2004",Foreign,1 hrs. 26 min.,PG-13,N/A
amoresperros,http://www.boxofficemojo.com/movies/?id=amoresperros.htm,20961,"$5,408,467",Lions Gate,"March 30, 2001",Foreign,2 hrs. 33 min.,R,N/A
transamerica,http://www.boxofficemojo.com/movies/?id=transamerica.htm,23169,"$9,015,303",Weinstein Company,"December 2, 2005",Comedy / Drama,1 hrs. 43 min.,R,N/A
foreverlulu,http://www.boxofficemojo.com/movies/?id=foreverlulu.htm,18823,"$36,786",TriStar,"April 24, 1987",Unknown,1 hrs. 25 min.,R,N/A
billybathgate,http://www.boxofficemojo.com/movies/?id=billybathgate.htm,21132,"$15,565,363",Buena Vista,"November 1, 1991",Crime Drama,1 hrs. 47 min.,R,$48 million
ourbrandiscrisis20115,http://www.boxofficemojo.com/movies/?id=ourbrandiscrisis20115.htm,23046,"$7,002,261",Warner Bros.,"October 30, 2015",Comedy / Drama,1 hrs. 48 min.,R,$28 million
blue,http://www.boxofficemojo.com/movies/?id=blue.htm,19104,"$1,324,974",Miramax,"November 30, 1993",Foreign,1 hrs. 40 min.,R,N/A
exorcist10,http://www.boxofficemojo.com/movies/?id=exorcist10.htm,15732,"$235,134Domestic Lifetime Gross: $232,906,145",Warner Bros.,"September 30, 2010",Horror,2 hrs. 12 min.,R,N/A
underworld4,http://www.boxofficemojo.com/movies/?id=underworld4.htm,27019,"$62,321,039",Sony / Screen Gems,"January 20, 2012",Action Horror,1 hrs. 28 min.,R,$70 million
invasion,http://www.boxofficemojo.com/movies/?id=invasion.htm,25618,"$15,074,191",Warner Bros.,"August 17, 2007",Sci-Fi Thriller,1 hrs. 33 min.,PG-13,$80 million
bebeskids,http://www.boxofficemojo.com/movies/?id=bebeskids.htm,19794,"$8,442,162",Paramount,"July 31, 1992",Animation,1 hrs. 12 min.,PG-13,N/A
houseparty2,http://www.boxofficemojo.com/movies/?id=houseparty2.htm,21660,"$19,438,638",New Line,"October 25, 1991",Comedy,1 hrs. 34 min.,R,$5 million
projectx,http://www.boxofficemojo.com/movies/?id=projectx.htm,21095,"$18,532,286",Fox,"April 17, 1987",Drama / Thriller,1 hrs. 48 min.,PG,N/A
trueconfessions,http://www.boxofficemojo.com/movies/?id=trueconfessions.htm,16864,"$12,850,276",MGM,"September 25, 1981",Crime Drama,1 hrs. 48 min.,R,N/A
selfless,http://www.boxofficemojo.com/movies/?id=selfless.htm,20667,"$12,279,691",Focus Features,"July 10, 2015",Sci-Fi Thriller,1 hrs. 57 min.,PG-13,$26 million
themagnificentseven,http://www.boxofficemojo.com/movies/?id=themagnificentseven.htm,25279,"$93,432,655",Sony / Columbia,"September 23, 2016",Western,2 hrs. 13 min.,PG-13,$90 million
manwithtwobrains,http://www.boxofficemojo.com/movies/?id=manwithtwobrains.htm,20692,"$10,353,438",Warner Bros.,"June 3, 1983",Sci-Fi Comedy,1 hrs. 30 min.,R,N/A
mchalesnavy,http://www.boxofficemojo.com/movies/?id=mchalesnavy.htm,20923,"$4,529,843",Universal,"April 18, 1997",Comedy,1 hrs. 49 min.,PG,N/A
urbanlegendsfinalcut,http://www.boxofficemojo.com/movies/?id=urbanlegendsfinalcut.htm,23740,"$21,468,807",Sony / Columbia,"September 22, 2000",Horror,1 hrs. 38 min.,R,$14 million
absolutelyfabulousthemovie,http://www.boxofficemojo.com/movies/?id=absolutelyfabulousthemovie.htm,19761,"$4,772,155",Fox Searchlight,"July 22, 2016",Comedy,1 hrs. 30 min.,R,N/A
descent,http://www.boxofficemojo.com/movies/?id=descent.htm,23516,"$26,024,456",Lionsgate,"August 4, 2006",Horror,1 hrs. 39 min.,R,N/A
abracadabra,http://www.boxofficemojo.com/movies/?id=abracadabra.htm,18337,"$13,975",Sony / Columbia,"September 15, 2017",Comedy / Drama,1 hrs. 36 min.,R,N/A
smokinaces,http://www.boxofficemojo.com/movies/?id=smokinaces.htm,25548,"$35,787,686",Universal,"January 26, 2007",Action Comedy,1 hrs. 48 min.,R,$17 million
turnerandhooch,http://www.boxofficemojo.com/movies/?id=turnerandhooch.htm,21324,"$71,079,915",Buena Vista,"July 28, 1989",Action Comedy,1 hrs. 37 min.,PG,N/A
othersideofthetracks,http://www.boxofficemojo.com/movies/?id=othersideofthetracks.htm,18476,"$9,572",Weinstein Company,"April 4, 2014",Foreign,1 hrs. 36 min.,R,N/A
offlimits,http://www.boxofficemojo.com/movies/?id=offlimits.htm,20077,"$7,242,035",Fox,"March 11, 1988",Unknown,1 hrs. 42 min.,R,N/A
goodyear,http://www.boxofficemojo.com/movies/?id=goodyear.htm,24494,"$7,459,300",Fox,"November 10, 2006",Romance,1 hrs. 58 min.,PG-13,$35 million
scoutsvszombies,http://www.boxofficemojo.com/movies/?id=scoutsvszombies.htm,21563,"$3,703,046",Paramount,"October 30, 2015",Horror Comedy,1 hrs. 33 min.,R,$15 million
ladyinthevan,http://www.boxofficemojo.com/movies/?id=ladyinthevan.htm,17942,"$10,021,175",Sony Classics,"December 4, 2015",Drama,1 hrs. 44 min.,PG-13,N/A
bird,http://www.boxofficemojo.com/movies/?id=bird.htm,21383,"$2,181,286",Warner Bros.,"September 30, 1988",Unknown,2 hrs. 40 min.,R,N/A
rainman,http://www.boxofficemojo.com/movies/?id=rainman.htm,29387,"$172,825,435",MGM,"December 16, 1988",Drama,2 hrs. 13 min.,R,$25 million
